eval(),"Number(fromcharcode,charcodeAt,charAt)",concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,Long string,longest string length,hexa value,var _,number of space,ratio between space and charecters,function,No. of encoded charecters,ratio between encoded & chareceters,No. of backslas (/),No. of pipe characters,percentage between pipe (|) charcters,No. of Digite,percentage between digit and character,percentage between hexa/octa and characters,No. of % character,No. of \ charecters,No. of =,ratio beween = and charecters,No. of ? Charecters,Number of ! Charecters,encodeURIComponent,decodeURIComponent,No. of ';' charecters,"No of ',' charecters",No. of '#' charecters,No. of '+' charecters,No.of '.' charecters,No. of ' charecters,Found / Not Found
1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12642,3178,1,19,0.001402,4,12739,0.940216,3,2,0.000148,5186,0.382759,0.496494,1,3178,8,0.000591,2,1,0,0,16,22,0,4,1,0,1
0,0,0,8,0,0,0,0,0,49,15,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,53,0,0,5102,0.0880277,69,0,0,363,40,0.000691,297,0.005124,0,2,2,378,0.006521,24,46,0,0,426,290,95,109,751,1205,0
0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,43,0.007724,10,1267,0.227591,14,4,0.000718,1551,0.278606,0,9,0,87,0.015628,2,9,0,1,75,118,0,33,4,124,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,0.015418,4,153,0.168502,4,0,0,64,0.070485,0,1,0,34,0.037445,1,9,0,0,15,15,0,4,12,12,1
1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4031,1,0,296,0.054162,0,4029,0.737236,20,0,0,2200,0.402562,0.541446,0,1,56,0.010247,0,4,0,0,19,1372,0,5,10,0,1
0,3,1,60,0,0,6,1,4,101,62,0,30,10,25,0,2,0,0,9,0,15,1,0,0,0,0,0,1,4,0,538,24,1311,0,0,2254,0.009023,841,0,0,398,729,0.002918,2431,0.009732,0,89,30,3621,0.014496,385,738,0,1,968,4544,168,796,6952,255,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,30,5,282,118,13,753,0.106945,10,4165,0.591535,6,0,0,2889,0.410311,0.416276,0,118,64,0.009089,0,15,0,0,67,856,0,4,1,120,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,64,0,0,0,0,3799,0.262688,27,0,0,163,51,0.003526,174,0.012031,0,1,1,165,0.011409,8,22,0,0,188,87,0,23,170,17,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,0,0,0,0,21,0.011024,10,153,0.080314,4,2,0.001049,69,0.036221,0,1,0,49,0.025722,1,14,0,0,46,46,0,4,52,12,1
0,0,0,0,0,0,0,0,0,27,5,0,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,2,91,0,0,13137,0.077545,557,0,0,480,30,0.000177,827,0.004882,0,20,232,685,0.004043,24,99,0,0,1516,1788,547,637,3124,3386,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53,0,0,0,0,87,0.013526,34,153,0.023787,18,12,0.001865,146,0.022699,0,1,0,127,0.019745,7,18,0,0,134,92,0,43,224,24,1
0,0,0,0,0,0,3,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1930,0.076815,54,0,0,55,12,0.000478,22,0.000877,0,1,7,224,0.008915,12,20,0,0,251,160,636,35,437,577,0
0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,1,8,0,0,0,0,70,0.057661,3,0,0,9,0,0,36,0.029654,0,0,0,48,0.039538,5,1,2,0,19,12,0,28,32,34,1
1,0,1,0,0,0,0,0,1,1,3,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2,111,0,0,378,0.002274,91,0,0,70,32,0.001925,240,0.014441,0,5,60,319,0.019194,44,19,0,0,381,238,0,184,457,42,0
