No. of Digite,number of space,"Number(fromcharcode,charcodeAt,charAt)",Long string,longest string length,hexa value,eval(),concat(),iframe,unescap(),escape(),search(),setAttribute(),toStiring(),parseInt(),setTimeout(),ActiveXObject(),split(),substring(),replace(),decode(),Math.random(),console.log(),document.addEventListener(),window.location(),attachEvent(),createElement(),getElementById(),getCookie,document.write(),onerror(),onunload(),onload(),dispatchEvent,.js,.php,var,function,var _,encodeURIComponent,decodeURIComponent,/,|,%,no of( \),no of =,;,#,no of +,., no of ',Found / Not Found
199,3043,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,119,3,0,0,330,60,43,0,469,586,3,117,1014,591,0
6,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,4,0,7,0,0,0,22,9,0,12,8,14,1
137,13827,0,0,0,0,0,7,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,4,0,0,0,82,86,0,0,0,27,153,4,3,388,206,0,51,452,0,0
1998,671,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,5,5,0,0,3,1,0,0,24,30,0,2,12,58,1
111,4375,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,25,26,0,0,0,8,36,0,0,218,60,0,37,230,0,0
164,293,0,0,0,0,0,1,0,0,3,0,1,0,0,11,0,1,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,98,199,0,0,0,46,151,1,17,603,160,18,49,1535,38,1
1101,417,0,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,119,0,0,0,96,186,9,0,1313,350,13,378,1887,24,0
346,21455,6,0,0,3,0,1,0,0,0,0,0,5,0,2,0,5,3,8,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,140,304,0,1,0,26,171,4,4,1273,992,7,111,3234,13,0
41,4382,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,45,0,0,0,13,42,0,2,180,34,0,31,287,4,0
113,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,136,211,0,0,0,81,58,2,4,560,205,3,104,978,5,0
306,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,8,22,0,3,4,176,1
189,9753,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,185,218,2,0,0,863,68,2,4,571,836,10,105,1043,541,0
833,106,8,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,96,0,0,0,13,82,6,16,545,132,0,114,492,2,1
293,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,37,0,0,0,243,20,1,0,203,277,7,91,555,43,0
240,5966,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,42,0,0,0,277,112,1,2,244,289,2,20,278,119,0
123,30,1,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,14,87,1,24,45,26,0,19,33,36,1
1227,35800,15,0,0,6,0,2,0,0,0,1,9,3,1,3,3,29,24,30,0,2,0,0,0,2,6,1,0,0,2,0,0,0,2,0,283,235,0,8,7,228,427,14,103,1736,1024,19,335,1532,8,0
1097,36870,0,0,0,0,0,1,2,0,0,0,1,4,1,1,0,5,2,3,0,2,1,2,9,0,5,9,7,0,0,0,0,1,4,0,262,411,0,1,0,109,149,17,30,1199,914,12,138,1654,8,0
1721,45659,10,0,0,3,0,2,0,2,1,3,0,0,4,2,0,21,4,39,0,2,0,0,2,4,8,5,0,0,0,0,1,0,1,0,230,325,2,1,1,138,674,30,164,1519,1297,123,372,3045,78,0
979,0,0,1,701,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,387,0,0,2,0,0,9,4,1
308,30519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,120,79,0,0,91,85,10,0,1313,964,0,124,2478,904,0
21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,5,2,2,1
88,4586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,58,4,0,0,99,13,2,3,185,201,3,46,272,281,0
1291,4,1,1,2374,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,19,18,0,7,6,0,1
